resembles a soft porn brian de palma pastiche,safe conduct however ambitious and well-intentioned fails to hit the entertainment bull's-eye,0
what a pity that the material is so second-rate,what a pity that the material is so second-rate,1
feels like a cold old man going through the motions,there might be some sort of credible gender-provoking philosophy submerged here but who the hell cares ?,0
the film is like sitting in a downtown café overhearing a bunch of typical late-twenty-somethings natter on about nothing and desperately wishing you could change tables,the film is like sitting in a downtown café overhearing a bunch of typical late-twenty-somethings natter on about nothing and desperately wishing you could change tables,1
wins my vote for 'the 2002 enemy of cinema' award,often silly – and gross – but it's rarely as moronic as some campus gross-out films,0
mildly entertaining,nothing more or less than an outright bodice-ripper -- it should have ditched the artsy pretensions and revelled in the entertaining shallows,0
lan yu is certainly a serviceable melodrama but it doesn't even try for the greatness that happy together shoots for ( and misses ),lan yu is certainly a serviceable melodrama but it doesn't even try for the greatness that happy together shoots for ( and misses ),1
it's not a bad premise just a bad movie,you'll trudge out of the theater feeling as though you rode the zipper after eating a corn dog and an extra-large cotton candy,0
suffers from unlikable characters and a self-conscious sense of its own quirky hipness,suffers from unlikable characters and a self-conscious sense of its own quirky hipness,1
plays like somebody spliced random moments of a chris rock routine into what is otherwise a cliche-riddled but self-serious spy thriller,plays like somebody spliced random moments of a chris rock routine into what is otherwise a cliche-riddled but self-serious spy thriller,1
this charmless nonsense ensues amid clanging film references that make jay and silent bob's excellent adventure seem understated,this charmless nonsense ensues amid clanging film references that make jay and silent bob's excellent adventure seem understated,1
a noble failure,it is bad but certainly not without merit as entertainment,0
the animation and game phenomenon that peaked about three years ago is actually dying a slow death if the poor quality of pokemon 4 ever is any indication,the animation and game phenomenon that peaked about three years ago is actually dying a slow death if the poor quality of pokemon 4 ever is any indication,1
boring and meandering,boring and meandering,1
if the movie were all comedy it might work better but it has an ambition to say something about its subjects but not a willingness,if the movie were all comedy it might work better but it has an ambition to say something about its subjects but not a willingness,1
not once does it come close to being exciting,i was hoping that it would be sleazy and fun but it was neither,0
while it is welcome to see a chinese film depict a homosexual relationship in a mature and frank fashion lan yu never catches dramatic fire,like a pack of dynamite sticks built for controversy the film is explosive but a few of those sticks are wet,0
the action quickly sinks into by-the-numbers territory,the entire movie is filled with deja vu moments,0
it's all very cute though not terribly funny if you're more than six years old,it's all very cute though not terribly funny if you're more than six years old,1
van wilder doesn't bring anything new to the proverbial table but it does possess a coherence absent in recent crass-a-thons like tomcats freddy got fingered and slackers,accuracy and realism are terrific but if your film becomes boring and your dialogue isn't smart then you need to use more poetic license,0
director tom shadyac and star kevin costner glumly mishandle the story's promising premise of a physician who needs to heal himself,some of seagal's action pictures are guilty pleasures but this one is so formulaic that it seems to be on auto-pilot,0
what could have been a neat little story about believing in yourself is swamped by heavy-handed melodrama,what could have been a neat little story about believing in yourself is swamped by heavy-handed melodrama,1
it's mired in a shabby script that piles layer upon layer of action man cliché atop wooden dialogue and a shifting tone that falls far short of the peculiarly moral amorality of [woo's] best work,lisa rinzler's cinematography may be lovely but love liza's tale itself virtually collapses into an inhalant blackout maintaining consciousness just long enough to achieve callow pretension,0
a tv style murder mystery with a few big screen moments ( including one that seems to be made for a different film altogether ),a tv style murder mystery with a few big screen moments ( including one that seems to be made for a different film altogether ),1
it's a very tasteful rock and roll movie you could put it on a coffee table anywhere,[t]here's only so much anyone can do with a florid overplotted anne rice rock 'n' roll vampire novel before the built-in silliness of the whole affair defeats them,0
granddad of le nouvelle vague jean-luc godard continues to baffle the faithful with his games of hide-and-seek,has a customarily jovial air but a deficit of flim-flam inventiveness,0
the following things are not at all entertaining : the bad sound the lack of climax and worst of all watching seinfeld ( who is also one of the film's producers ) do everything he can to look like a good guy,the following things are not at all entertaining : the bad sound the lack of climax and worst of all watching seinfeld ( who is also one of the film's producers ) do everything he can to look like a good guy,1
despite the opulent lushness of every scene the characters never seem to match the power of their surroundings,despite the opulent lushness of every scene the characters never seem to match the power of their surroundings,1
